100_LitersPerDay_[Liters/h/15Minutes]	200LitersPerDay_[Liters/h/15Minutes]	300LitersPerDay_[Liters/h/15Minutes]
0	5.6	5.6
0	2.4	2.4
0	0	0
9.6	0	9.6
0	16	16
8	0	8
0	0	0
57.6	0	57.6
1.6	12.8	14.4
0	0	0
0	26.4	26.4
0	0	0
0	12	12
0	0	0
0	0	0
4.8	0	4.8
15.2	0	15.2
0	0	0
24.8	0	24.8
0	0	0
0	36.8	36.8
0	18.4	18.4
0	10.4	10.4
25.6	0	25.6
0	40	40
0	232	232
0	0	0
34.4	0	34.4
137.6	0	137.6
0	0	0
0	0	0
1.6	4.8	6.4
0	92	92
0	13.6	13.6
12.8	3.2	16
0	8	8
3.2	0	3.2
0	27.2	27.2
0	8	8
0	0	0
0	4.8	4.8
4	0	4
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
18.4	0	18.4
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
144	0	144
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	4	4
0	0	0
0	14.4	14.4
0	8	8
0	4.8	4.8
0	0	0
1.6	188	189.6
0	0	0
12.8	0	12.8
0	0	0
0	0	0
20.8	0	20.8
0	0	0
0	0	0
0	0	0
0	208.8	208.8
0	2.4	2.4
0	0	0
0	0	0
0	0	0
0	1.6	1.6
0	0	0
0	0	0
8.8	0	8.8
0	220	220
0	0	0
0	0	0
2.4	0	2.4
29.6	0	29.6
0	0	0
0	0	0
0	28.8	28.8
0	0	0
0	0	0
0	0	0
0	0	0
0	28.8	28.8
0	43.2	43.2
20	0	20
0	10.4	10.4
0	0	0
0	1.6	1.6
0	0	0
0	24	24
0	0	0
26.4	24	50.4
7.2	0	7.2
0	0	0
8.8	20	28.8
0	22.4	22.4
0	31.2	31.2
0	0	0
28.8	0	28.8
0	2.4	2.4
0	0	0
8	196	204
0	0	0
0	32	32
0	0	0
0	0	0
0	0	0
0	0	0
0	31.2	31.2
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
5.6	0	5.6
0	0	0
0	0	0
168	0	168
0	0	0
4	23.2	27.2
0	166.4	166.4
4.8	9.6	14.4
3.2	0	3.2
0	0	0
8	0	8
0	0	0
0	68.8	68.8
0	103.2	103.2
0	11.2	11.2
20.8	24	44.8
0	0	0
0	0	0
0	0	0
0	0	0
0	28.8	28.8
0	0	0
17.6	0	17.6
0	23.2	23.2
0	0	0
27.2	0	27.2
0	27.2	27.2
22.4	0	22.4
0	36.8	36.8
0	0	0
14.4	0	14.4
8	0	8
7.2	15.2	22.4
5.6	0	5.6
0	0	0
0	0	0
0	3.2	3.2
0	2.4	2.4
20	0	20
0	0	0
0	20.8	20.8
0	21.6	21.6
6.4	28.8	35.2
2.4	24.8	27.2
0	0	0
0	16	16
0	30.4	30.4
0	0	0
0	0	0
0	25.6	25.6
115.2	0	115.2
76.8	4	80.8
0	3.2	3.2
0	0	0
0	0	0
4.8	33.6	38.4
0	120	120
0	0	0
6.4	0	6.4
4	0	4
0	0	0
0	0	0
0	0	0
23.2	4	27.2
0	0	0
32	0	32
0	0	0
0	0	0
0	0	0
0	4	4
0	0	0
20.8	0	20.8
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
4.8	18.4	23.2
8.8	0	8.8
0	0	0
0	156	156
9.6	0	9.6
0	0	0
0	0	0
0	0	0
32.8	180	212.8
131.2	0	131.2
0	4.8	4.8
0	16.8	16.8
0	4	4
0	0	0
32	0	32
0	0	0
0	50.4	50.4
0	0	0
8	4.8	12.8
8.8	0	8.8
0	0	0
0	0	0
0	0	0
0	0	0
0	20	20
0	0	0
0	0	0
0	0	0
48	6.4	54.4
112	47.2	159.2
0	0	0
0	8	8
0	30.4	30.4
3.2	0	3.2
0	0	0
0	0	0
0	12	12
0	0	0
0	0	0
0	16	16
4	4	8
1.6	8	9.6
0	0	0
0	6.4	6.4
55.2	76	131.2
0	0	0
0	4	4
0	0	0
0	0	0
0	0	0
0	29.6	29.6
0	11.2	11.2
0	0	0
0	0	0
0	12	12
0	0	0
7.2	0	7.2
0	22.4	22.4
0	0	0
0	21.6	21.6
0	0	0
0	4	4
0	25.6	25.6
32	7.2	39.2
0	13.6	13.6
0	0	0
0	0	0
0	31.2	31.2
0	0	0
0	0	0
16	0	16
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
25.6	0	25.6
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	4.8	4.8
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	83.2	83.2
0	52.8	52.8
0	26.4	26.4
0	0	0
188	0	188
0	25.6	25.6
12	8.8	20.8
7.2	0	7.2
0	0	0
33.6	4.8	38.4
19.2	0	19.2
0	0	0
0	0	0
0	0	0
0	6.4	6.4
0	2.4	2.4
0	6.4	6.4
0	0	0
8.8	6.4	15.2
0	24.8	24.8
0	4.8	4.8
0	0	0
0	8	8
0	2.4	2.4
0	0	0
0	0	0
0	32.8	32.8
0	0	0
2.4	8.8	11.2
0	24	24
0	86.4	86.4
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	4.8	4.8
0	0	0
0	4.8	4.8
21.6	0	21.6
0	4	4
0	0	0
0	0	0
0	0	0
0	28	28
0	9.6	9.6
0	29.6	29.6
0	0	0
0	0	0
27.2	0	27.2
0	0	0
1.6	8.8	10.4
0	0	0
0	0	0
2.4	0	2.4
4	0	4
0	8.8	8.8
0	0	0
0	10.4	10.4
0	7.2	7.2
0	0	0
0	0	0
0	0	0
0	30.4	30.4
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
5.6	0	5.6
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
28.8	6.4	35.2
0	4.8	4.8
10.4	188	198.4
0	0	0
0	14.4	14.4
0	27.2	27.2
0	20.8	20.8
0	0	0
0	312	312
0	0	0
0	29.6	29.6
0	4	4
0	4.8	4.8
12.8	5.6	18.4
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	30.4	30.4
0	0	0
0	18.4	18.4
0	0	0
5.6	40	45.6
0	0	0
0	26.4	26.4
0	0	0
0	515.2	515.2
0	0	0
12	33.6	45.6
0	29.6	29.6
0	23.2	23.2
0	0	0
0	67.2	67.2
0	0	0
0	2.4	2.4
0	0	0
0	5.6	5.6
0	0	0
17.6	4	21.6
0	46.4	46.4
0	0	0
0	0	0
0	0	0
0	24	24
0	54.4	54.4
8	24.8	32.8
0	0	0
0	16	16
23.2	6.4	29.6
0	21.6	21.6
0	11.2	11.2
0	0	0
0	0	0
0	0	0
0	12.8	12.8
0	20	20
0	0	0
0	4	4
0	0	0
0	0	0
1.6	8	9.6
0	30.4	30.4
25.6	0	25.6
0	16	16
6.4	0	6.4
0	0	0
0	0	0
0	5.6	5.6
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	29.6	29.6
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
6.4	0	6.4
0	0	0
0	0	0
0	20	20
0	26.4	26.4
0	0	0
0	0	0
0	4.8	4.8
0	0	0
0	0	0
1.6	0	1.6
0	144	144
8	15.2	23.2
0	0	0
0	0	0
0	0	0
0	3.2	3.2
0	0	0
0	12.8	12.8
0	0	0
0	0	0
0	0	0
0	11.2	11.2
0	0	0
0	0	0
0	12.8	12.8
0	0	0
0	0	0
0	8.8	8.8
0	1.6	1.6
0	0	0
0	10.4	10.4
0	0	0
0	0	0
0	0	0
20	8.8	28.8
0	0	0
0	0	0
0	0	0
21.6	15.2	36.8
0	0	0
8.8	24	32.8
0	0	0
0	31.2	31.2
28	0	28
7.2	33.6	40.8
14.4	5.6	20
0	0	0
0	0	0
0	0	0
0	0	0
0	7.2	7.2
5.6	0	5.6
0	0	0
0	4	4
0	0	0
2.4	0	2.4
0	0	0
0	0	0
0	532	532
0	0	0
0	28.8	28.8
0	19.2	19.2
0	0	0
0	0	0
24.8	0	24.8
0	0	0
1.6	27.2	28.8
0	7.2	7.2
0	0	0
4.8	6.4	11.2
0	23.2	23.2
2.4	0	2.4
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	19.2	19.2
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	2.4	2.4
36.8	0	36.8
0	38.4	38.4
0	0	0
2.4	0	2.4
0	0	0
0	24	24
52.8	0	52.8
0	0	0
0	0	0
0	189.6	189.6
0	0	0
0	0	0
0	0	0
0	8	8
0	2.4	2.4
0	0	0
0	0	0
0	21.6	21.6
0	0	0
0	0	0
0	0	0
0	8.8	8.8
13.6	9.6	23.2
0	0	0
28	0	28
0	0	0
0	27.2	27.2
0	0	0
0	0	0
0	22.4	22.4
8.8	0	8.8
0	0	0
0	0	0
0	0	0
0	20	20
0	0	0
0	29.6	29.6
0	1.6	1.6
0	0	0
0	49.6	49.6
0	0	0
0	0	0
0	32.8	32.8
0	112	112
0	12	12
0	24.8	24.8
0	20.8	20.8
0	0	0
0	0	0
20.8	0	20.8
25.6	0	25.6
28.8	3.2	32
3.2	0	3.2
1.6	0	1.6
1.6	0	1.6
9.6	0	9.6
0	4	4
0	0	0
0	0	0
4	0	4
0	5.6	5.6
0	0	0
27.2	0	27.2
0	0	0
2.4	4.8	7.2
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	29.6	29.6
0	0	0
0	32	32
1.6	18.4	20
6.4	0	6.4
11.2	0	11.2
0	38.4	38.4
7.2	0	7.2
0	1.6	1.6
0	0	0
0	0	0
0	2.4	2.4
0	0	0
0	18.4	18.4
0	0	0
0	0	0
12	0	12
36	0	36
0	0	0
0	48.8	48.8
0	0	0
0	0	0
2.4	0	2.4
0	0	0
0	0	0
0	0	0
0	4.8	4.8
0	0	0
23.2	0	23.2
0	28	28
0	5.6	5.6
0	0	0
0	0	0
0	28.8	28.8
3.2	0	3.2
0	0	0
0	12.8	12.8
2.4	17.6	20
0	0	0
0	0	0
0	17.6	17.6
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
32	29.6	61.6
0	0	0
35.2	0	35.2
0	0	0
0	22.4	22.4
0	0	0
0	0	0
0	5.6	5.6
0	0	0
5.6	0	5.6
0	0	0
0	0	0
0	0	0
0	4.8	4.8
0	30.4	30.4
0	0	0
0	198.4	198.4
0	0	0
0	25.6	25.6
35.2	0	35.2
0	28.8	28.8
0	0	0
0	0	0
2.4	0	2.4
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	6.4	6.4
26.4	20	46.4
0	115.2	115.2
0	30.4	30.4
0	26.4	26.4
112	0	112
38.4	0	38.4
0	0	0
18.4	0	18.4
0	35.2	35.2
0	140.8	140.8
6.4	0	6.4
0	36	36
0	0	0
0	1.6	1.6
31.2	0	31.2
0	2.4	2.4
0	1.6	1.6
0	0	0
13.6	4.8	18.4
0	0	0
0	20	20
0	0	0
0	0	0
0	32.8	32.8
0	0	0
0	0	0
0	0	0
0	19.2	19.2
0	11.2	11.2
0	0	0
0	0	0
0	24.8	24.8
0	0	0
8	0	8
0	0	0
0	0	0
0	0	0
0	8.8	8.8
0	0	0
0	32.8	32.8
17.6	0	17.6
11.2	4.8	16
0	0	0
28.8	0	28.8
0	0	0
0	191.2	191.2
0	0	0
2.4	0	2.4
0	0	0
0	0	0
0	27.2	27.2
9.6	24	33.6
0	0	0
4	8	12
24.8	0	24.8
0	0	0
0	0	0
0	28.8	28.8
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	29.6	29.6
5.6	8	13.6
0	0	0
0	2.4	2.4
0	21.6	21.6
11.2	27.2	38.4
0	16.8	16.8
2.4	32	34.4
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
54.4	12	66.4
0	0	0
0	0	0
0	0	0
4	3.2	7.2
0	0	0
0	14.4	14.4
0	4.8	4.8
0	152	152
4	0	4
0	0	0
0	0	0
0	0	0
0	28	28
0	48	48
31.2	23.2	54.4
23.2	0	23.2
0	0	0
0	0	0
0	0	0
0	0	0
0	2.4	2.4
0	6.4	6.4
0	0	0
13.6	4.8	18.4
0	0	0
0	0	0
0	1.6	1.6
0	11.2	11.2
0	34.4	34.4
26.4	8.8	35.2
0	5.6	5.6
0	1.6	1.6
0	0	0
0	0	0
0	24	24
0	26.4	26.4
0	0	0
0	21.6	21.6
0	0	0
28	8	36
0	0	0
0	20.8	20.8
0	0	0
0	0	0
27.2	0	27.2
0	0	0
18.4	0	18.4
0	10.4	10.4
0	0	0
0	24.8	24.8
0	0	0
0	0	0
0	14.4	14.4
24.8	0	24.8
0	16	16
0	15.2	15.2
0	0	0
0	3.2	3.2
0	8	8
0	19.2	19.2
0	0	0
6.4	18.4	24.8
0	24.8	24.8
0	0	0
121.6	0	121.6
30.4	0	30.4
46.4	0	46.4
0	29.6	29.6
0	20.8	20.8
0	9.6	9.6
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	12.8	12.8
0	0	0
0	4	4
0	0	0
7.2	20.8	28
0	11.2	11.2
6.4	0	6.4
0	12.8	12.8
0	0	0
0	0	0
0	0	0
9.6	3.2	12.8
28.8	29.6	58.4
0	3.2	3.2
0	8	8
0	0	0
0	12	12
0	0	0
20.8	0	20.8
0	11.2	11.2
0	0	0
0	0	0
0	0	0
0	23.2	23.2
11.2	0	11.2
0	0	0
39.2	10.4	49.6
5.6	0	5.6
0	0	0
0	0	0
0	8.8	8.8
0	0	0
0	0	0
0	0	0
4.8	0	4.8
0	0	0
0	164	164
0	146.4	146.4
0	0	0
1.6	30.4	32
0	0	0
0	8	8
0	5.6	5.6
0	14.4	14.4
5.6	0	5.6
0	0	0
0	3.2	3.2
0	0	0
28	34.4	62.4
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	4.8	4.8
0	0	0
0	12.8	12.8
0	0	0
1.6	4	5.6
0	2.4	2.4
22.4	0	22.4
0	0	0
0	4.8	4.8
7.2	0	7.2
0	0	0
0	0	0
0	0	0
2.4	30.4	32.8
0	32.8	32.8
0	0	0
6.4	0	6.4
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
3.2	0	3.2
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
23.2	6.4	29.6
0	0	0
0	0	0
0	363.2	363.2
0	0	0
0	0	0
0	0	0
8.8	12	20.8
0	0	0
0	20	20
0	8.8	8.8
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
46.4	0	46.4
4.8	0	4.8
0	0	0
0	21.6	21.6
0	0	0
5.6	4.8	10.4
4	7.2	11.2
0	0	0
0	0	0
0	0	0
8	0	8
0	0	0
0	28	28
0	0	0
20	12	32
0	0	0
0	0	0
0	0	0
8	16.8	24.8
4	8	12
0	4	4
4	32	36
16	0	16
24	8.8	32.8
0	2.4	2.4
0	0	0
0	0	0
4	0	4
0	0	0
0	0	0
30.4	0	30.4
0	0	0
0	0	0
0	8.8	8.8
0	1.6	1.6
0	28	28
0	0	0
0	0	0
0	0	0
55.2	11.2	66.4
105.6	0	105.6
0	4.8	4.8
0	0	0
0	0	0
1.6	0	1.6
0	23.2	23.2
8.8	0	8.8
0	25.6	25.6
0	5.6	5.6
0	2.4	2.4
0	0	0
0	24.8	24.8
0	28.8	28.8
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
10.4	0	10.4
0	0	0
0	0	0
0	144	144
0	36	36
19.2	1.6	20.8
0	165.6	165.6
12.8	0	12.8
2.4	0	2.4
0	0	0
0	112	112
0	28	28
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
22.4	20.8	43.2
0	0	0
0	16	16
2.4	31.2	33.6
0	9.6	9.6
0	0	0
0	5.6	5.6
11.2	0	11.2
7.2	0	7.2
0	0	0
0	0	0
8.8	0	8.8
2.4	0	2.4
0	0	0
0	1.6	1.6
0	0	0
15.2	0	15.2
0	37.6	37.6
0	7.2	7.2
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	2.4	2.4
0	0	0
0	0	0
8	22.4	30.4
0	0	0
0	9.6	9.6
0	0	0
0	0	0
0	8	8
0	24	24
0	0	0
0	0	0
6.4	0	6.4
144	0	144
4	0	4
7.2	0	7.2
0	0	0
0	0	0
0	2.4	2.4
0	0	0
0	18.4	18.4
0	41.6	41.6
0	0	0
0	0	0
0	0	0
0	11.2	11.2
0	0	0
0	4.8	4.8
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	29.6	29.6
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
4	0	4
22.4	31.2	53.6
22.4	17.6	40
28.8	0	28.8
0	0	0
0	0	0
0	15.2	15.2
156	0	156
0	0	0
0	0	0
0	0	0
0	0	0
0	28.8	28.8
0	0	0
0	0	0
0	0	0
0	0	0
0	59.2	59.2
31.2	0	31.2
0	17.6	17.6
0	0	0
0	4	4
0	0	0
0	0	0
0	0	0
30.4	0	30.4
0	12.8	12.8
1.6	0	1.6
0	0	0
0	0	0
0	0	0
0	0	0
0	20.8	20.8
0	11.2	11.2
0	0	0
0	8	8
0	4.8	4.8
0	47.2	47.2
0	10.4	10.4
0	0	0
0	0	0
2.4	0	2.4
0	0	0
24	0	24
0	4	4
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	197.6	197.6
0	72	72
0	0	0
0	0	0
0	3.2	3.2
33.6	0	33.6
0	6.4	6.4
2.4	13.6	16
0	0	0
14.4	5.6	20
0	0	0
0	0	0
0	0	0
8	32	40
0	9.6	9.6
0	18.4	18.4
0	8.8	8.8
24.8	0	24.8
4.8	77.6	82.4
0	0	0
0	0	0
0	5.6	5.6
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	14.4	14.4
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	8.8	8.8
0	0	0
0	4.8	4.8
0	0	0
0	0	0
6.4	0	6.4
34.4	0	34.4
0	0	0
0	25.6	25.6
0	0	0
0	0	0
0	0	0
2.4	18.4	20.8
0	1.6	1.6
0	7.2	7.2
0	5.6	5.6
0	58.4	58.4
0	0	0
0	20.8	20.8
0	0	0
0	0	0
3.2	0	3.2
0	0	0
0	4	4
0	0	0
1.6	0	1.6
0	0	0
0	25.6	25.6
0	0	0
26.4	0	26.4
0	0	0
2.4	0	2.4
6.4	38.4	44.8
0	24.8	24.8
0	0	0
0	0	0
0	0	0
29.6	6.4	36
0	0	0
32	20	52
0	7.2	7.2
0	0	0
0	4	4
0	0	0
0	26.4	26.4
0	0	0
0	1.6	1.6
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
8	50.4	58.4
26.4	0	26.4
0	7.2	7.2
0	19.2	19.2
25.6	0	25.6
0	4.8	4.8
0	0	0
0	0	0
3.2	0	3.2
0	0	0
0	40	40
0	0	0
0	12	12
0	11.2	11.2
0	0	0
0	0	0
0	4	4
0	0	0
0	0	0
0	0	0
0	28	28
0	0	0
0	0	0
0	0	0
0	4	4
0	8.8	8.8
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
4	0	4
0	0	0
0	0	0
0	0	0
3.2	0	3.2
0	0	0
0	188	188
0	0	0
12	18.4	30.4
7.2	148.8	156
0	0	0
5.6	0	5.6
0	198.4	198.4
0	25.6	25.6
12	0	12
3.2	0	3.2
0	0	0
0	20.8	20.8
0	0	0
0	0	0
2.4	0	2.4
0	0	0
0	0	0
0	29.6	29.6
0	0	0
0	5.6	5.6
0	0	0
21.6	7.2	28.8
0	0	0
0	0	0
0	0	0
0	4.8	4.8
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
25.6	0	25.6
0	8	8
0	0	0
0	4	4
0	37.6	37.6
0	6.4	6.4
0	0	0
7.2	0	7.2
0	0	0
0	8	8
0	19.2	19.2
35.2	0	35.2
0	25.6	25.6
0	38.4	38.4
0	0	0
0	0	0
0	0	0
0	0	0
6.4	20	26.4
0	4	4
0	0	0
5.6	0	5.6
0	35.2	35.2
0	13.6	13.6
160	0	160
0	13.6	13.6
0	8	8
0	2.4	2.4
0	0	0
0	3.2	3.2
4.8	4	8.8
0	0	0
0	4	4
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	1.6	1.6
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
12.8	0	12.8
0	0	0
1.6	32.8	34.4
0	26.4	26.4
0	0	0
168	25.6	193.6
0	43.2	43.2
0	0	0
5.6	0	5.6
0	0	0
0	0	0
0	0	0
0	0	0
0	8.8	8.8
0	0	0
0	0	0
0	1.6	1.6
0	1.6	1.6
0	0	0
20	0	20
0	0	0
0	48	48
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
25.6	28.8	54.4
0	0	0
28	0	28
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	5.6	5.6
10.4	12	22.4
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	4	4
0	1.6	1.6
0	0	0
0	20	20
0	0	0
0	0	0
0	23.2	23.2
12.8	0	12.8
0	0	0
15.2	29.6	44.8
0	0	0
200	0	200
1.6	0	1.6
23.2	0	23.2
0	2.4	2.4
0	0	0
0	0	0
4	0	4
0	0	0
0	25.6	25.6
0	4	4
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
30.4	0	30.4
0	3.2	3.2
0	0	0
0	27.2	27.2
5.6	0	5.6
0	0	0
0	0	0
0	26.4	26.4
22.4	0	22.4
0	88	88
0	463.2	463.2
0	28	28
0	0	0
0	34.4	34.4
0	0	0
1.6	0	1.6
0	4	4
15.2	0	15.2
0	22.4	22.4
0	0	0
0	22.4	22.4
0	0	0
8	8	16
0	8	8
0	0	0
0	0	0
0	0	0
0	32.8	32.8
29.6	0	29.6
0	47.2	47.2
0	0	0
0	0	0
0	26.4	26.4
0	0	0
0	0	0
0	0	0
0	8.8	8.8
0	0	0
23.2	24	47.2
0	0	0
0	3.2	3.2
0	0	0
0	31.2	31.2
0	0	0
0	26.4	26.4
0	0	0
24.8	0	24.8
0	0	0
0	4	4
